,text,elapsed_time,sadness,joy,love,anger,fear,surprise
0,時価総額300億円以下の仮想通貨関連銘柄①,0.05380800000000008,0.2029869109392166,0.3190268576145172,0.03278166055679321,0.19723673164844513,0.22233650088310242,0.025631247088313103
1, （5月25日終値ベース）,0.035109999999999975,0.08549672365188599,0.38721418380737305,0.019124161452054977,0.3694404661655426,0.12748703360557556,0.011237479746341705
2, 3691 リアルワールド 42億,0.03663900000000009,0.12468841671943665,0.5714237093925476,0.015181784518063068,0.16023704409599304,0.11785776913166046,0.010611330159008503
3, 6180 ＧＭＯメディア 47億,0.02794300000000005,0.2096211314201355,0.3362761437892914,0.011488501913845539,0.25182032585144043,0.17890504002571106,0.011888834647834301
4, 2743 ピクセルカンパニーズ 60億,0.03610900000000017,0.12532883882522583,0.5786105990409851,0.01644277013838291,0.1519862711429596,0.11190736293792725,0.015724139288067818
5, 6177 ＡｐｐＢａｎｋ 61億,0.029183999999999877,0.21593113243579865,0.32114529609680176,0.012125473469495773,0.29112744331359863,0.14936038851737976,0.010310277342796326
6, 3690 ロックオン 76...,0.034330000000000194,0.05174030363559723,0.5383335947990417,0.006648198235780001,0.29940858483314514,0.09683828055858612,0.007030996028333902
7,"RT @OrganicConsumer: WOW ➡️ ""In #Canada, GE #salmon are already being sold and eaten, to the tune of 5 tons in 2017, and could be coming to…",0.0648439999999999,0.005538647063076496,0.9602727890014648,0.001317257760092616,0.02183017134666443,0.009281165897846222,0.0017598713748157024
8,"RT @MichielSyngenta: #GMO corn is #safe and even has health benefits, analysis of 6,000 studies concludes https://t.co/T0BFyVq7oW",0.07128600000000018,0.0007175867795012891,0.9972003698348999,0.0004746542836073786,0.0007889056578278542,0.0005960449343547225,0.00022257304226513952
9,ドコモユーザーならドコモ光！,0.023655000000000204,0.09231017529964447,0.5436905026435852,0.010547664016485214,0.2716499865055084,0.07186815142631531,0.009933515451848507
10, GMOとくとくBBのドコモ光なら、v6プラスで全国平均210Mbps超え&amp;Wi-Fiルーター無料＆dポイント2万ptプレゼント＆セキュリティ1年無料！,0.10869799999999996,0.05071937292814255,0.8036073446273804,0.01096266508102417,0.07573408633470535,0.05259446054697037,0.006381979677826166
11, ドコモ光パックで毎...,0.03692299999999982,0.07090906798839569,0.3950708508491516,0.007053179666399956,0.38565874099731445,0.13512712717056274,0.0061810933984816074
12,RT @WhalePenny: Check out my DD package for $RBIZ,0.038371000000000155,0.009920422919094563,0.9323184490203857,0.002506815828382969,0.04381652548909187,0.00987220648676157,0.001565523212775588
13," The next penny runner! way undervalued, should reach 0.01 short term ",0.043556999999999846,0.40324121713638306,0.4287891089916229,0.0035539541859179735,0.12998799979686737,0.03020757995545864,0.004220157396048307
14, https://t.co/ntKTia…,0.036340999999999735,0.022737348452210426,0.4291592836380005,0.006985833402723074,0.2692848742008209,0.266641765832901,0.005190880969166756
